doctor_id,name,specialization,availability
1,Frances Hernandez,General Physician,Tue 11 AM to 2 PM
2,Tina Brooks,Dermatologist,Wed 9 AM to 4 PM
3,Gregory Wilson,General Physician,Tue 10 AM to 2 PM
4,Janet Hunter,Neurologist,Thu 10 AM to 4 PM
5,Rachel White,Cardiologist,Fri 12 AM to 4 PM
6,Steven Scott,Cardiologist,Thu 11 AM to 3 PM
7,Gary Cook,Neurologist,Mon 9 AM to 2 PM
8,Anthony Diaz,Neurologist,Tue 9 AM to 3 PM
9,Stephanie Williams,Dermatologist,Wed 11 AM to 2 PM
10,Kimberly Boyd,Dermatologist,Tue 12 AM to 1 PM
11,Bruce Tran,Cardiologist,Mon 12 AM to 3 PM
12,Amanda Petty DDS,Dermatologist,Wed 10 AM to 2 PM
13,Cindy Green,Cardiologist,Mon 12 AM to 5 PM
14,Adam Herrera,Cardiologist,Mon 9 AM to 4 PM
15,Thomas Murphy,General Physician,Mon 12 AM to 1 PM
16,Robert York,General Physician,Tue 9 AM to 4 PM
17,Donna Butler,Neurologist,Thu 10 AM to 1 PM
18,Andrew Moore,Cardiologist,Fri 9 AM to 5 PM
19,Nicole Hernandez,Dermatologist,Wed 10 AM to 1 PM
20,Michael Ho,General Physician,Mon 12 AM to 5 PM
